"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: W5 Mapping","Mapping: Object Implementation Information"
"CapabilityStatement","","","",1,1,"","","","","A statement of system capabilities","This is a simple example Template.","","","","","","","","","",,,,,"",,,,"CapabilityStatement",1,1,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}cpb-8:There can only be one REST declaration per mode. {rest.select(mode).isDistinct()}cpb-7:The set of documents must be unique by the combination of profile and mode. {document.select(profile.reference&mode).isDistinct()}cpb-15:Capability Statements of kind 'instance' do not have implementation elements. {implementation.empty() or kind != 'capability'}cpb-3:Messaging end-point is required (and is only permitted) when a statement is for an implementation. {messaging.endpoint.empty() or kind = 'instance'}cpb-14:Capability Statements of kind 'requirements' do not have software or implementation elements. {(software.empty() and implementation.empty()) or kind != 'requirements'}cpb-2:A Capability Statement SHALL have at least one of description, software, or implementation element. {(description.count() + software.count() + implementation.count()) > 0}cpb-1:A Capability Statement SHALL have at least one of REST, messaging or document element. {rest.exists() or messaging.exists() or document.exists()}","Entity. Role, or Act","n/a","conformance.behavior"
"CapabilityStatement.rest.security.cors","","","",0,1,"","","Y","boolean {[]} {[]}
","Adds CORS Headers (http://enable-cors.org/)","Server adds CORS headers when responding to requests - this enables javascript applications to use the server.","The easiest CORS headers to add are Access-Control-Allow-Origin: * & Access-Control-Request-Method: GET, POST, PUT, DELETE. All servers SHOULD support CORS.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.security.cors",0,1,"",""
"CapabilityStatement.rest.security.service","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","OAuth | SMART-on-FHIR | NTLM | Basic | Kerberos | Certificates","Types of security services that are supported/required by the system.","","","","","","","","","",,"extensible","Types of security services used with FHIR.","http://hl7.org/fhir/ValueSet/restful-security-service","",,,,"CapabilityStatement.rest.security.service",0,*,"",""
"CapabilityStatement.rest.security.description","","","",0,1,"","","","string {[]} {[]}
","General description of how security works","General description of how security works.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.security.description",0,1,"",""
"CapabilityStatement.rest.security.certificate","","","",0,*,"","","","BackboneElement {[]} {[]}
","Certificates associated with security profiles","Certificates associated with security profiles.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.security.certificate",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.rest.security.certificate.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.rest.security.certificate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.rest.security.certificate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.rest.security.certificate.type","","","",0,1,"","","","code {[]} {[]}
","Mime type for certificates","Mime type for a certificate.","","","","","","","","","",,"required","The mime type of an attachment. Any valid mime type is allowed.","http://hl7.org/fhir/ValueSet/mimetypes","",,,,"CapabilityStatement.rest.security.certificate.type",0,1,"",""
"CapabilityStatement.rest.security.certificate.blob","","","",0,1,"","","","base64Binary {[]} {[]}
","Actual certificate","Actual certificate.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.security.certificate.blob",0,1,"",""
"CapabilityStatement.rest.resource","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Resource served on the REST interface","A specification of the restful capabilities of the solution for a specific resource type.","Max of one repetition per resource type.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
cpb-12:Search parameter names must be unique in the context of a resource. {searchParam.select(name).isDistinct()}"
"CapabilityStatement.rest.resource.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.rest.resource.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.rest.resource.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.rest.resource.type","","","",1,1,"","","Y","code {[]} {[]}
","A resource type that is supported","A type of resource exposed via the restful interface.","","","","","","","","","",,"required","One of the resource types defined as part of FHIR.","http://hl7.org/fhir/ValueSet/resource-types","",,,,"CapabilityStatement.rest.resource.type",1,1,"",""
"CapabilityStatement.rest.resource.profile","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureDefinition]]}
","Base System profile for all uses of resource","A specification of the profile that describes the solution's overall support for the resource, including any constraints on cardinality, bindings, lengths or other limitations. See further discussion in [Using Profiles](profiling.html#profile-uses).","The profile applies to all  resources of this type - i.e. it is the superset of what is supported by the system.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.profile",0,1,"",""
"CapabilityStatement.rest.resource.documentation","","","",0,1,"","","","markdown {[]} {[]}
","Additional information about the use of the resource type","Additional information about the resource type used by the system.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.documentation",0,1,"",""
"CapabilityStatement.rest.resource.interaction","","","",1,*,"","","","BackboneElement {[]} {[]}
","What operations are supported?","Identifies a restful operation supported by the solution.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.interaction",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.rest.resource.interaction.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.rest.resource.interaction.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.rest.resource.interaction.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.rest.resource.interaction.code","","","",1,1,"","","","code {[]} {[]}
","read | vread | update | patch | delete | history-instance | history-type | create | search-type","Coded identifier of the operation, supported by the system resource.","","","","","","","","","",,"required","Operations supported by REST at the type or instance level.","http://hl7.org/fhir/ValueSet/type-restful-interaction","",,,,"CapabilityStatement.rest.resource.interaction.code",1,1,"",""
"CapabilityStatement.rest.resource.interaction.documentation","","","",0,1,"","","","string {[]} {[]}
","Anything special about operation behavior","Guidance specific to the implementation of this operation, such as 'delete is a logical delete' or 'updates are only allowed with version id' or 'creates permitted from pre-authorized certificates only'.","","REST allows a degree of variability in the implementation of RESTful solutions that is useful for exchange partners to be aware of.","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.interaction.documentation",0,1,"",""
"CapabilityStatement.rest.resource.versioning","","","",0,1,"","","","code {[]} {[]}
","no-version | versioned | versioned-update","This field is set to no-version to specify that the system does not support (server) or use (client) versioning for this resource type. If this has some other value, the server must at least correctly track and populate the versionId meta-property on resources. If the value is 'versioned-update', then the server supports all the versioning features, including using e-tags for version integrity in the API.","If a server supports versionIds correctly, it SHOULD support vread too, but is not required to do so.","","","","","","","","",,"required","How the system supports versioning for a resource.","http://hl7.org/fhir/ValueSet/versioning-policy","",,,,"CapabilityStatement.rest.resource.versioning",0,1,"",""
"CapabilityStatement.rest.resource.readHistory","","","",0,1,"","","","boolean {[]} {[]}
","Whether vRead can return past versions","A flag for whether the server is able to return past versions as part of the vRead operation.","It is useful to support the vRead operation for current operations, even if past versions aren't available.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.readHistory",0,1,"",""
"CapabilityStatement.rest.resource.updateCreate","","","",0,1,"","","","boolean {[]} {[]}
","If update can commit to a new identity","A flag to indicate that the server allows or needs to allow the client to create new identities on the server (e.g. that is, the client PUTs to a location where there is no existing resource). Allowing this operation means that the server allows the client to create new identities on the server.","Allowing the clients to create new identities on the server means that the system administrator needs to have confidence that the clients do not create clashing identities between them. Obviously, if there is only one client, this won't happen. While creating identities on the client means that the clients need to be managed, it's much more convenient for many scenarios if such management can be put in place.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.updateCreate",0,1,"",""
"CapabilityStatement.rest.resource.conditionalCreate","","","",0,1,"","","","boolean {[]} {[]}
","If allows/uses conditional create","A flag that indicates that the server supports conditional create.","Conditional Create is mainly appropriate for interface engine scripts converting from other formats, such as v2.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.conditionalCreate",0,1,"",""
"CapabilityStatement.rest.resource.conditionalRead","","","",0,1,"","","","code {[]} {[]}
","not-supported | modified-since | not-match | full-support","A code that indicates how the server supports conditional read.","Conditional Read is mainly appropriate for interface engine scripts converting from other formats, such as v2.","","","","","","","","",,"required","A code that indicates how the server supports conditional read.","http://hl7.org/fhir/ValueSet/conditional-read-status","",,,,"CapabilityStatement.rest.resource.conditionalRead",0,1,"",""
"CapabilityStatement.rest.resource.conditionalUpdate","","","",0,1,"","","","boolean {[]} {[]}
","If allows/uses conditional update","A flag that indicates that the server supports conditional update.","Conditional Update is mainly appropriate for interface engine scripts converting from other formats, such as v2.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.conditionalUpdate",0,1,"",""
"CapabilityStatement.rest.resource.conditionalDelete","","","",0,1,"","","","code {[]} {[]}
","not-supported | single | multiple - how conditional delete is supported","A code that indicates how the server supports conditional delete.","Conditional Delete is mainly appropriate for interface engine scripts converting from other formats, such as v2.","","","","","","","","",,"required","A code that indicates how the server supports conditional delete.","http://hl7.org/fhir/ValueSet/conditional-delete-status","",,,,"CapabilityStatement.rest.resource.conditionalDelete",0,1,"",""
"CapabilityStatement.rest.resource.referencePolicy","","","",0,*,"","","","code {[]} {[]}
","literal | logical | resolves | enforced | local","A set of flags that defines how references are supported.","","","","","","","","","",,"required","A set of flags that defines how references are supported.","http://hl7.org/fhir/ValueSet/reference-handling-policy","",,,,"CapabilityStatement.rest.resource.referencePolicy",0,*,"",""
"CapabilityStatement.rest.resource.searchInclude","","","",0,*,"","","","string {[]} {[]}
","_include values supported by the server","A list of _include values supported by the server.","If this list is empty, the server does not support includes.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.searchInclude",0,*,"",""
"CapabilityStatement.rest.resource.searchRevInclude","","","",0,*,"","","","string {[]} {[]}
","_revinclude values supported by the server","A list of _revinclude (reverse include) values supported by the server.","If this list is empty, the server does not support reverse includes.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.searchRevInclude",0,*,"",""
"CapabilityStatement.rest.resource.searchParam","","","",0,*,"","","","BackboneElement {[]} {[]}
","Search parameters supported by implementation","Search parameters for implementations to support and/or make use of - either references to ones defined in the specification, or additional ones defined for/by the implementation.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.searchParam",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.rest.resource.searchParam.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.rest.resource.searchParam.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.rest.resource.searchParam.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.rest.resource.searchParam.name","","","",1,1,"","","","string {[]} {[]}
","Name of search parameter","The name of the search parameter used in the interface.","Parameter names cannot overlap with standard parameter names, and standard parameters cannot be redefined.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.searchParam.name",1,1,"",""
"CapabilityStatement.rest.resource.searchParam.definition","","","",0,1,"","","","uri {[]} {[]}
","Source of definition for parameter","An absolute URI that is a formal reference to where this parameter was first defined, so that a client can be confident of the meaning of the search parameter (a reference to [SearchParameter.url]()).","This SHOULD be present, and matches refers to a SearchParameter by its canonical url. If systems wish to document their support for modifiers, comparators, target resource types, and chained parameters, they should do using a search parameter resource.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.searchParam.definition",0,1,"",""
"CapabilityStatement.rest.resource.searchParam.type","","","",1,1,"","","","code {[]} {[]}
","number | date | string | token | reference | composite | quantity | uri","The type of value a search parameter refers to, and how the content is interpreted.","While this can be looked up from the definition, it is included here as a convenience for systems that autogenerate a query interface based on the server capability statement.  It SHALL be the same as the type in the search parameter definition.","","","","","","","","",,"required","Data types allowed to be used for search parameters.","http://hl7.org/fhir/ValueSet/search-param-type","",,,,"CapabilityStatement.rest.resource.searchParam.type",1,1,"",""
"CapabilityStatement.rest.resource.searchParam.documentation","","","",0,1,"","","","string {[]} {[]}
","Server-specific usage","This allows documentation of any distinct behaviors about how the search parameter is used.  For example, text matching algorithms.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.resource.searchParam.documentation",0,1,"",""
"CapabilityStatement.rest.interaction","","","",0,*,"","","","BackboneElement {[]} {[]}
","What operations are supported?","A specification of restful operations supported by the system.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.interaction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.rest.interaction.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.rest.interaction.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.rest.interaction.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.rest.interaction.code","","","",1,1,"","","","code {[]} {[]}
","transaction | batch | search-system | history-system","A coded identifier of the operation, supported by the system.","","","","","","","","","",,"required","Operations supported by REST at the system level.","http://hl7.org/fhir/ValueSet/system-restful-interaction","",,,,"CapabilityStatement.rest.interaction.code",1,1,"",""
"CapabilityStatement.rest.interaction.documentation","","","",0,1,"","","","string {[]} {[]}
","Anything special about operation behavior","Guidance specific to the implementation of this operation, such as limitations on the kind of transactions allowed, or information about system wide search is implemented.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.interaction.documentation",0,1,"",""
"CapabilityStatement.rest.searchParam","","","",0,*,"","","","","Search parameters for searching all resources","Search parameters that are supported for searching all resources for implementations to support and/or make use of - either references to ones defined in the specification, or additional ones defined for/by the implementation.","Typically, the only search parameters supported for all searchse are those that apply to all resources - tags, profiles, text search etc.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.searchParam",0,*,"",""
"CapabilityStatement.rest.operation","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Definition of an operation or a custom query","Definition of an operation or a named query together with its parameters and their meaning and type.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.operation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.rest.operation.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.rest.operation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.rest.operation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.rest.operation.name","","","",1,1,"","","","string {[]} {[]}
","Name by which the operation/query is invoked","The name of the operation or query. For an operation, this is the name  prefixed with $ and used in the URL. For a query, this is the name used in the _query parameter when the query is called.","The name here SHOULD be the same as the name in the definition, unless there is a name clash and the name cannot be used. The name does not include the ""$"" portion that is always included in the URL.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.operation.name",1,1,"",""
"CapabilityStatement.rest.operation.definition","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/OperationDefinition]]}
","The defined operation/query","Where the formal definition can be found.","This can be used to build an HTML form to invoke the operation, for instance.","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.operation.definition",1,1,"",""
"CapabilityStatement.rest.compartment","","","",0,*,"","","","uri {[]} {[]}
","Compartments served/used by system","An absolute URI which is a reference to the definition of a compartment that the system supports. The reference is to a CompartmentDefinition resource by its canonical URL .","At present, the only defined compartments are at [CompartmentDefinition](compartmentdefinition.html).","","","","","","","","",,,,,"",,,,"CapabilityStatement.rest.compartment",0,*,"",""
"CapabilityStatement.messaging","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","If messaging is supported","A description of the messaging capabilities of the solution.","Multiple repetitions allow the documentation of multiple endpoints per solution.","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging",0,*,"cpb-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
cpb-16:A Capability Statement messaging element SHALL have either supportedMessage or event element, but not both. {supportedMessage.empty() != event.empty()}"
"CapabilityStatement.messaging.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.messaging.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.messaging.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.messaging.endpoint","","3
","",0,*,"","","","BackboneElement {[]} {[]}
","Where messages should be sent","An endpoint (network accessible address) to which messages and/or replies are to be sent.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.endpoint",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.messaging.endpoint.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.messaging.endpoint.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
